CDM Item Number,Revenue Code,Service ID,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: BCBS of AL,Payer Negotiated Charge: Cigna ,Payer Negotiated Charge: Cigna Medicare Adv,Payer Negotiated Charge: Simpra Advantage Inc MCR Adv (Plan: All),Payer Negotiated Charge: Tricare ,Payer Negotiated Charge: United Healthcare,Payer Negotiated Charge: VIVA,
86907821,239,96372,INJECTION FLOOR,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
7931974,250,J1815,.HUMULIN 50/50 INSULIN,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7932018,250,J1815,.HUMULIN 70/30 INSULIN *NAME ALERT*,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7939259,250,J1815,.LEVEMIR INSULIN,33,16.5,12.21,16.5,12.21,15.51,13.2,13.2,15.51,15.51,13.2,
7938894,250,J1815,.NOVOLOG INSULIN 100 UN/ML  10 ML VIAL,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7932464,250,,.PREVACID(LANSOPRAZOLE):30 MG CAPS,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7940057,250,,.TRANDATE (LABETALOL) 5 MG/ML CJ(4ML CJ),22,11,8.14,11,8.14,10.34,8.8,8.8,10.34,10.34,8.8,
7920838,250,,BACTRIM DS (SULFAMETH/TRIMETH) TAB,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
7924327,250,,BETOPTIC OPTH SOL (BETAXOLOL) 0.5%  10ML,189,94.5,69.93,94.5,69.93,88.83,75.6,75.6,88.83,88.83,75.6,
7938904,250,,COMBIVIR (lamiVUDine/ZIDOVUDINE)150/300,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
7938979,250,,COMTAN 200 MG (ENTACAPONE),8,4,2.96,4,2.96,3.76,3.2,3.2,3.76,3.76,3.2,
7940039,250,,DISCOVISC 1 ML,197,98.5,72.89,98.5,72.89,92.59,78.8,78.8,92.59,92.59,78.8,
7940038,250,,DUOVISC 0.35 ML,197,98.5,72.89,98.5,72.89,92.59,78.8,78.8,92.59,92.59,78.8,
7940105,250,,EDURANT (RILPIVIRINE) 25 MG TAB,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
7938756,250,J1815,HUMALOG  MIX 75/25 (LISPRO) INSULIN,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7938520,250,J1815,HUMALOG (LISPRO) INSULIN *,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7929946,250,J1815,HUMULIN 70/30 INSULIN,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7926363,250,J1815,HUMULIN LENTE INSULIN,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
