SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL Total (IP & OP) PPO ,BCBSAL CHS EE PPO,Aetna PPO ,UHC PPO ,Cigna PPO,COMM VIVA Health PPO ,COMM Multiplan PPO ,COMM Humana PPO,Humana MCR ,UHC MCR ,BCBSAL MCR ,Cigna Healthspring MCR ,VIVA Health MCR,Aetna/Coventry MCR 
1522036,LEUKOCYTE TRANSFUS,86950,134.66,2/6/2022,28.2786,47.131,686.766,60.19302,8.34892,7.4063,60.19302,22.08424,40.66732,35.81956,14.1393,12.25406,6.86766,7.81028,7.67562,686.766,7.13698,7.94494
1217850,OXAZEPAM 15MG CAP,,4.3,2/6/2022,0.903,1.505,21.93,1.9221,0.2666,0.2365,1.9221,0.7052,1.2986,1.1438,0.4515,0.3913,0.2193,0.2494,0.2451,21.93,0.2279,0.2537
1210294,PIPER/TAZOB 1G/.125G,J2543,69,2/6/2022,14.49,24.15,351.9,30.843,4.278,3.795,30.843,11.316,20.838,18.354,7.245,6.279,3.519,4.002,3.933,351.9,3.657,4.071
1913222,LIMITED ED VISIT,99282,2353.36,2/6/2022,494.2056,823.676,12002.136,1051.95192,145.90832,129.4348,1051.95192,385.95104,710.71472,625.99376,247.1028,214.15576,120.02136,136.49488,134.14152,12002.136,124.72808,138.84824
1212984,GENTAMICIN UPTO 80MG,J1580,192.5,2/6/2022,40.425,67.375,981.75,86.0475,11.935,10.5875,86.0475,31.57,58.135,51.205,20.2125,17.5175,9.8175,11.165,10.9725,981.75,10.2025,11.3575
1212676,BECLOMETH 80MCG PUF,,166,2/6/2022,34.86,58.1,846.6,74.202,10.292,9.13,74.202,27.224,50.132,44.156,17.43,15.106,8.466,9.628,9.462,846.6,8.798,9.794
1217256,CALC CARB 500MG CHW,,2.3,2/6/2022,0.483,0.805,11.73,1.0281,0.1426,0.1265,1.0281,0.3772,0.6946,0.6118,0.2415,0.2093,0.1173,0.1334,0.1311,11.73,0.1219,0.1357
7210270,STRONG IOD 5% 14ML,,189,2/6/2022,39.69,66.15,963.9,84.483,11.718,10.395,84.483,30.996,57.078,50.274,19.845,17.199,9.639,10.962,10.773,963.9,10.017,11.151
1314618,IMMUNODIFFUSION,86329,280.19,2/6/2022,58.8399,98.0665,1428.969,125.24493,17.37178,15.41045,125.24493,45.95116,84.61738,74.53054,29.41995,25.49729,14.28969,16.25102,15.97083,1428.969,14.85007,16.53121
1612259,BNE SRVY CMP METS CR,77075,7700.83,2/6/2022,1617.1743,2695.2905,39274.233,3442.27101,477.45146,423.54565,3442.27101,1262.93612,2325.65066,2048.42078,808.58715,700.77553,392.74233,446.64814,438.94731,39274.233,408.14399,454.34897
1670732,LE-CALCANEUS 2PLS DR,73650,1462.3,2/6/2022,307.083,511.805,7457.73,653.6481,90.6626,80.4265,653.6481,239.8172,441.6146,388.9718,153.5415,133.0693,74.5773,84.8134,83.3511,7457.73,77.5019,86.2757
1314747,"WBC DIFF, MAN",85007,587.53,2/6/2022,123.3813,205.6355,2996.403,262.62591,36.42686,32.31415,262.62591,96.35492,177.43406,156.28298,61.69065,53.46523,29.96403,34.07674,33.48921,2996.403,31.13909,34.66427
