Greene County Health Systems,,,,,,,,,,,,,
Shoppable Services Worksheet,,,,,,,,,,,,,
Updated 5/31/22,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Insurance Name,Cash Price,Aetna,BCBS Alabama,Humana,,,
,,,,,,,Discounted Cash Price, % of Charges , % of Charges , % of Charges ,,,
Identifier,Shoppable Service,CPT/HCPCS Code,Service Category, Standard Charge ,Minimum Negotiated Rate,Maximum Negotiated Rate,75%,70%,37%,35%,,,
1," Psychotherapy, 30 minutes ",90832,Evaluation and Management Services, services not provided ,,,,,,,,,
2," Psychotherapy, 45 minutes ",90834,Evaluation and Management Services, services not provided ,,,,,,,,,
3," Psychotherapy, 60 minutes ",90837,Evaluation and Management Services, services not provided ,,,,,,,,,
4," Family psychotherapy, not including patient, 50 minutes ",90846,Evaluation and Management Services, services not provided ,,,,,,,,,
5," Family psychotherapy, including patient, 50 min ",90847,Evaluation and Management Services, services not provided ,,,,,,,,,
6, Group psychotherapy ,90853,Evaluation and Management Services, services not provided ,,,,,,,,,
7,"Wound Care New patient office or other outpatient visit, typically 30 min ",99203,Evaluation and Management Services, $240.18 , $84.06 , $180.14 , $180.14 , $168.13 , $88.87 , $84.06 ,,,
8," New patient office of other outpatient visit, typically 45 min ",99204,Evaluation and Management Services, $318.28 , $111.40 , $238.71 , $238.71 , $222.80 , $117.76 , $111.40 ,,,
9," New patient office of other outpatient visit, typically 60 min ",99205,Evaluation and Management Services, $435.38 , $152.38 , $326.54 , $326.54 , $304.77 , $161.09 , $152.38 ,,,
10," Patient office consultation, typically 40 min ",99243,Evaluation and Management Services, services not provided ,,,,,,,,,
11," Patient office consultation, typically 60 min ",99244,Evaluation and Management Services, services not provided ,,,,,,,,,
12," Initial new patient preventive medicine evaluation, for those ages 18 to 39 ",99385,Evaluation and Management Services, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
13," Initial new patient preventive medicine evaluation, for those ages 40 to 64 ",99386,Evaluation and Management Services, services not provided ,,,,,,,,,
14, Basic metabolic panel ,80048,Laboratory and Pathology Services, $73.00 , $25.55 , $54.75 , $54.75 , $51.10 , $27.01 , $25.55 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
15," Blood test, comprehensive group of blood chemicals ",80053,Laboratory and Pathology Services, $95.00 , $33.25 , $71.25 , $71.25 , $66.50 , $35.15 , $33.25 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
16, Obstetric blood test panel ,80055,Laboratory and Pathology Services, services not provided ,,,,,,,,,
