SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL Total (IP & OP) PPO ,BCBSAL CHS EE PPO,Aetna PPO ,UHC PPO,Cigna PPO,Humana PPO,VIVA PPO ,UHC MCR ,Humana MCR ,BCBSAL MCR,Aetna/Coventry MCR,VIVA Health MCR,Multiplan 
1631559,CT-BONE LENGTH STUDY,77073,1728.52,2/6/22,518.556,604.982,105.43972,961.05712,164.2094,138.2816,961.05712,250.6354,254.09244,133.09604,292.11988,134.82456,134.82456,138.2816,146.9242,122.72492,105.43972
1612194,LE-FOOT 3V PLUS CR,73630,798.44,2/6/22,239.532,279.454,48.70484,443.93264,75.8518,63.8752,443.93264,115.7738,117.37068,61.47988,134.93636,62.27832,62.27832,63.8752,67.8674,56.68924,48.70484
1413124,EVENT RECRDR CARDIAC,C1764,32202.68,2/6/22,9660.804,11270.938,1964.36348,17904.69008,3059.2546,2576.2144,17904.69008,4669.3886,4733.79396,2479.60636,5442.25292,2511.80904,2511.80904,2576.2144,2737.2278,2286.39028,1964.36348
1317129,MLH1 PROM GN METHYLT,81288,1121.69,2/6/22,336.507,392.5915,68.42309,623.65964,106.56055,89.7352,623.65964,162.64505,164.88843,86.37013,189.56561,87.49182,87.49182,89.7352,95.34365,79.63999,68.42309
7210500,LIDOCAINE 2%VIS 100M,,124.77,2/6/22,37.431,43.6695,7.61097,69.37212,11.85315,9.9816,69.37212,18.09165,18.34119,9.60729,21.08613,9.73206,9.73206,9.9816,10.60545,8.85867,7.61097
1218244,RALOXIFENE 60MG TAB,,8.37,2/6/22,2.511,2.9295,0.51057,4.65372,0.79515,0.6696,4.65372,1.21365,1.23039,0.64449,1.41453,0.65286,0.65286,0.6696,0.71145,0.59427,0.51057
2811216,Y90 IBRITUM RX/40MCI,A9543,99999.95,2/6/22,29999.985,34999.9825,6099.99695,55599.9722,9499.99525,7999.996,55599.9722,14499.99275,14699.99265,7699.99615,16899.99155,7799.9961,7799.9961,7999.996,8499.99575,7099.99645,6099.99695
1314433,POTASSIUM SER PL WB,84132,78.12,2/6/22,23.436,27.342,4.76532,43.43472,7.4214,6.2496,43.43472,11.3274,11.48364,6.01524,13.20228,6.09336,6.09336,6.2496,6.6402,5.54652,4.76532
1314594,RSV ASSAY W-OPTIC,87807,78.12,2/6/22,23.436,27.342,4.76532,43.43472,7.4214,6.2496,43.43472,11.3274,11.48364,6.01524,13.20228,6.09336,6.09336,6.2496,6.6402,5.54652,4.76532
1218614,MINERAL OIL 10ML,,50.84,2/6/22,15.252,17.794,3.10124,28.26704,4.8298,4.0672,28.26704,7.3718,7.47348,3.91468,8.59196,3.96552,3.96552,4.0672,4.3214,3.60964,3.10124
1215473,PEGFILGRAS 0.5MG INJ,J2506,3294.32,2/6/22,988.296,1153.012,200.95352,1831.64192,312.9604,263.5456,1831.64192,477.6764,484.26504,253.66264,556.74008,256.95696,256.95696,263.5456,280.0172,233.89672,200.95352
1210159,GRANISETRON 100MCG,J1626,137.09,2/6/22,41.127,47.9815,8.36249,76.22204,13.02355,10.9672,76.22204,19.87805,20.15223,10.55593,23.16821,10.69302,10.69302,10.9672,11.65265,9.73339,8.36249
2852817,"EP-LV PACING, ADD",93622,1499.01,2/6/22,449.703,524.6535,91.43961,833.44956,142.40595,119.9208,833.44956,217.35645,220.35447,115.42377,253.33269,116.92278,116.92278,119.9208,127.41585,106.42971,91.43961
1217919,TOBRAMYCI .3% OS 5ML,,58.55,2/6/22,17.565,20.4925,3.57155,32.5538,5.56225,4.684,32.5538,8.48975,8.60685,4.50835,9.89495,4.5669,4.5669,4.684,4.97675,4.15705,3.57155
1217698,FLUMAZEN .1MG/ML 5ML,,224.91,2/6/22,67.473,78.7185,13.71951,125.04996,21.36645,17.9928,125.04996,32.61195,33.06177,17.31807,38.00979,17.54298,17.54298,17.9928,19.11735,15.96861,13.71951
282950,IMM ADM FLU VACCINE,G0008,361.99,2/6/22,108.597,126.6965,22.08139,201.26644,34.38905,28.9592,201.26644,52.48855,53.21253,27.87323,61.17631,28.23522,28.23522,28.9592,30.76915,25.70129,22.08139
1913261,CONCURRENT IV THER,96368,2064.27,2/6/22,619.281,722.4945,125.92047,1147.73412,196.10565,165.1416,1147.73412,299.31915,303.44769,158.94879,348.86163,161.01306,161.01306,165.1416,175.46295,146.56317,125.92047
1061522,S-TIB PER REVAS ATHR,SURG,46023.29,2/6/22,13806.987,16108.1515,2807.42069,25588.94924,4372.21255,3681.8632,25588.94924,6673.37705,6765.42363,3543.79333,7777.93601,3589.81662,3589.81662,3681.8632,3911.97965,3267.65359,2807.42069
1581035,US-BREAST COMPLETE,76641,1366.29,2/6/22,409.887,478.2015,83.34369,759.65724,129.79755,109.3032,759.65724,198.11205,200.84463,105.20433,230.90301,106.57062,106.57062,109.3032,116.13465,97.00659,83.34369
1217256,CALC CARB 500MG CHW,,0.15,2/6/22,0.045,0.0525,0.00915,0.0834,0.01425,0.012,0.0834,0.02175,0.02205,0.01155,0.02535,0.0117,0.0117,0.012,0.01275,0.01065,0.00915
1217034,BACLOFEN 10MG TAB,,0.15,2/6/22,0.045,0.0525,0.00915,0.0834,0.01425,0.012,0.0834,0.02175,0.02205,0.01155,0.02535,0.0117,0.0117,0.012,0.01275,0.01065,0.00915
