CLAY COUNTY HOSPITAL,,,
CHARGEMASTER,,,
,,,
DESCRIPTION,CPT CD,CHARGE,
A & D OINT   60GM,,0.29, 
A & D OINTMENT FOIL PACKS : CH/144,,4, 
ABDOMINAL PARACENTESIS,49082,607,
ABDOMINAL PARACENTESIS W IMAGING,49083,932,
ABG BLOOD DRAW,36600,237,
ABILIFY 2MG TAB,,62.2,
ABILIFY TAB  10MG UD (ARIPIPRAZOLE),,62.2,
ABILIFY TAB  5MG UD,,71,
ABREVA 2GM TUBE : CH1,,50,
ACCU-CHECK FASTCLIX DRUM {CH/BX},,6,
ACCU-CHEK AVIVA PLUS STRIP {100-CH/STRI},,6,
ACCU-CHEK SMART VIEW STRIPS {CH/STRIP},,42.95,
ACETAMIN/CODEINE  240MG/24MG/10ML CH/ML,,6,
ACETAMIN/CODEINE LIQ  240MG/24MG/10ML UD,,15,
ACETAMIN/CODEINE TAB 300MG/30MG TY#3 UD,,7,
ACETAMINOPHEN  *ER* 8HOUR  650MG CAPLET,,6,
ACETAMINOPHEN (TYLENOL) SUPP  650MG UD,,6,
ACETAMINOPHEN (TYLENOL) SUPP 120MG UD,,6,
ACETAMINOPHEN (TYLENOL) SUPP 325MG UD,,6,
ACETAMINOPHEN 160MG/5ML LIQ 473ML CH/ML,,0.03,
ACETAMINOPHEN 160MG/5ML LIQ 4OZ CH/BT,,6,
ACETAMINOPHEN 325MG TAB : CH PER TAB,,4,
ACETAMINOPHEN LIQ  325MG/10 ML UD,,6,
ACETAMINOPHEN TAB EX ST 500MG UD,,6,
acetaZOLAMIDE (Diamox) TAB 125MG,,6,
acetaZOLAMIDE (Diamox) TAB 250MG UD,,4,
ACETYLCYSTEINE 20% {MUCOMYST} PER BT,J7608,21,
ACIDOPHILUS 21ST CENTRY BLEND,,6,
ACIDOPHILUS PECTIN CAPSULE,,6,
ACIPHEX (RABEPRAZOLE) TAB 20MG,,8,
ACTIDOSE SUSP {CHARCOAL/SORBITOL} PER BT,,32,
ACTIDOSE-AQUA SUSP {CHARCOAL} PER TUBE,,36,
ACTIVASE FOR STROKE/STEMI CH 100,J2997,257.4,
ACTOPLUSMET TAB 15MG/500MG,,10,
ACYCLOVIR CAP {ZOVIRAX} 200MG,,6,
ACYCLOVIR TAB {ZOVIRAX} 400MG,,6,
ACYCLOVIR TAB {ZOVIRAX} 800MG,,5,
Adacel INJ {Tdap},90715,95,
ADAPALENE (DIFFERIN) GEL 0.1% 45GM CH/GM,,4.81,
ADAPTER CLAVE MALE,,6,
ADAPTER LARGE BIRD   1409,,3,
ADAPTER PORTEX SWIVEL 625191,,24,
ADAPTER PRESSURE LINE,,5,
ADAPTER STEP-DOWN   1769,,3,
ADAPTER T   1077,,4,
ADAPTER THERMOMETER   1645,,5,
ADAPTER VIAL SAFEFILL ANES.,,5,
Adderall XR 20MG CAP,,16,
Adderall XR CAP 10MG,,6,
Adderall XR CAP 30MG,,8,
ADENOCARD 6MG/2ML VIAL,J0153,35,
ADENOIDECTOMY PRIMARY 12 YRS OR >,42831,4149,
ADENOIDECTOMY SECONDARY < 12 YRS,42835,4149,
"ADENOIDECTOMY, SECONDARY AGE 12",42836,4149,
"ADENOIDECTOMY,REMOVAL/ADENOIDS-PRIM <12",42830,414,
ADIPEX P 37.5MG (PHENTERMINE)TABS,,6,
ADL 15 MINUTES,97535GP,69,
ADL 15 MINUTES,97535GP,69,
ADL/SELF CARE TRAINING EACH 15 MIN,97535GP,76,
ADL/SELF CARE TRAINING EACH 15 MIN,97535GP,76,
ADM FEE ALLERGY VAC MULTIPE INJ PER DAY,95125,29,
ADM FEE ALLERGY VACC SINGLE INJ PER DAY,95120,29,
ADM FEE BLOOD TRANSFUSION,36430,231,
ADM FEE IMMUNE GLOBULIN IM INJECTION,90782,83,
ADM FEE TOXOID IM INJ,90749,87,
ADM FEE VACCINE IM INJ 1ST PER DAY,90471,83,
ADM FEE VACCINE IM INJ 1ST PER DAY,90471,87,
ADM FEE VACCINE IM INJ 2ND PER DAY,90472,83,
ADM FEE VACCINE IM INJ 2ND PER DAY,90472,83,
ADVAIR DISCUS 100/50   {60 DOSE-CH/DOSE},,9.05,
Advair DISKUS  250/50  {14 DOSE} UD,,315,
Advair DISKUS 100/50   {14 DOSE-CH/DOSE},,22,
