Item Number,Item Description,CPT Code,Price
00044,BLOOD GLUCOSE CHECK,,$3.00 
00046,PICC DRESSING CHANGE,,$42.00 
00100,STATLOCK,,$11.15 
00101,INPATIENT ROOM AND BOARD,,$560.00 
00352,AMPICILLIN 2GM INJ,,$80.00 
00600,UNIVERSAL RIB BELT,,$6.50 
00700,UNIVERSAL RIB BELT,,$6.50 
01031,GOWN/XL SPECIALITY,,$20.00 
01032,ARTHRO-FLO REGULATOR,,$50.00 
01033,LR 3000CC,,$22.00 
01034,WELL LEG SUPPORT,,$99.00 
01035,TOURNIQUET,,$167.00 
01036,LEG HOLDER,,$182.00 
01037,WEBRIL,,$10.00 
01038,SPINAL NEEDLES,,$8.00 
01039,DURAPREP,,$24.00 
01040,ESOPHOGEAL DILATION,,$159.00 
01041,BLADE/4.5 TURBOTRIMER,,$194.00 
01042,BLADE/4.5 SYNOVATOR,,$194.00 
01043,INSUFFLATION TUBING,,$50.00 
01044,SHOE/POST OP LARGE FEMALE,,$38.00 
01045,CORFLO G TUBE 18 FR,,$82.00 
01046,SHOE/POST OP/MED FEMALE,,$38.00 
01047,SHOE/POST OP/SMALL FEMALE,,$38.00 
01048,SUCTION COAGULATOR,,$25.00 
01049,COTTONOIDS,,$27.00 
01050,U DRAPE,,$27.00 
01065,CARDIAC MON & ELECTROD,,$110.00 
01066,ROBNEL CATHETER,,$23.00 
01067,WALL SUCTION & CAN,,$35.00 
01068,EXC-BEN LES INC MARGINS .6 TO 1.0 CM,11401,"$1,064.00 "
01069,DRAPE (LARGE),,$8.00 
01071,MECONIUM ASPIRATOR,,$4.00 
01072,CATH MULTI CVP,,$344.00 
01075,TIP CLEANER,,$3.00 
01080,LIGHT HANDLE COVER,,$2.00 
01081,COBAN/STERILE,,$19.00 
01082,COBAN/NON STERILE,,$13.00 
01083,ESMARK BANDAGE,,$10.00 
01084,ORTHO GLOVES,,$9.00 
01085,LIDOCAINE SPRAY (SMALL AMOUNT),,$7.00 
01086,MRI PORT,,"$1,122.00 "
01087,ENDO BOVIE CABLE,,$35.00 
01088,SKIN STAPLER/ER/DS-5,,$15.00 
01089,SKIN STAPLER/ER/PGX35W,,$30.00 
01090,INJECTAFLOW 25 GA INJECTIO NEEDLE,,$102.00 
01091,MEMORY BASKET POLYPRETNEVAL,,$782.00 
01092,HYDRO SURG+ IRRIGATOR,,$180.00 
01093,PROBE BIPOLAR /GI BLEEDS,,$548.00 
01098,CAST ROOM/FOREARM TO HAND,29125,$258.00 
01104,SUT TRAY INC X,,$44.00 
01105,L FREE STERILE GLVES,,$6.50 
01106,INTESTINAL BAG,,$27.00 
01108,UTERINE & VAG PACK,,$9.00 
01109,VASELINE GAUZE,,$13.00 
01110,GELFOAM,,$9.00 
01112,STERILE GLOVES PR LATEX FREE POWDERFRE,,$10.00 
01113,RETENTION BRIDGE,,$8.00 
01115,DRAPE (HALF),,$7.00 
01116,STERILE OR SUCTION,,$47.00 
01117,SKIN STAPLER SET,,$184.00 
01119,SUCTION UNIT DISP,,$18.00 
01122,DERMATONE BLADE,,$27.00 
01123,T-TUBE,,$22.00 
01128,THORACENTESIS WO IMAGING,32554,$228.00 
01129,FOLEY CATH TRAY,,$62.00 
01130,STERI-STRIPS,,$8.00 
01131,CAN FLUFFS,,$9.00 
01132,CHUCK IT,,$19.00 
01133,DRESSING LARGE,,$28.00 
01134,DRESSING SMALL,,$17.00 
01135,GROUNDING PAD,,$19.00 
01136,UNDERWATER CHEST DRAIN,,$79.00 
01137,ER THORACOSTOMY-CHEST TUBE-ABSCESS,32551,"$1,269.00 "
01138,CONRAY 400,,$23.00 
01139,SUCTION TUBING,,$19.00 
01140,CATH TIP SYRINGE,,$5.00 
01143,XYLOCAINE 50 CC,,$13.00 
01144,SUTURES,,$19.00 
01146,LITHOTOMY PACK,,$59.00 
01147,LARYNGOSCOPY,31505,$195.00 
01148,RHINOLARYNSCOPY,,$460.00 
01149,STAPLES/DISPOSIBLE INTERNAL,,$802.00 
01152,ACE BANDAGES ALL SIZES,,$10.00 
01153,KNIFE BLADE,,$8.00 
01154,IODOFORM GAUZE,,$18.00 
01155,NU-GAUZE PLAIN,,$18.00 
01157,SYRINGES ALL SIZES,,$8.00 
01159,RADIOPAQUE 4 X 4,,$28.00 
01160,MORGAN LENS,,$79.00 
01161,BILATERAL LIMB SHEET,,$37.00 
01162,BREAST MARK KIT,,$73.00 
01172,FLEET/DUCOLAX PREP,,$20.00 
01174,PRESSURE BAG/ DISPOSAL,,$97.00 
01216,HEMABATE,,$100.00 
01239,INTUBATING STYLET 2.5X4.5,,$4.00 
01240,VAS CATH,,$158.00 
01241,GROSHONG,,"$1,120.00 "
01242,ANTI-FOG CLOTH,,$24.00 
01243,EXTREMETY SHEET,,$27.00 
01244,POLYP SNARE,,$124.00 
01245,FALOPE RING KIT,,$465.00 
01246,BALLOON CHOLE CATH,,$247.00 
01247,SURGIFISH,,$48.00 
01248,POOLE SUCTION,,$14.00 
01271,GOWN/STERILE SURGEON,,$20.00 
01298,PERM KIT,,$525.00 
01300,PERINEAL LIGHT DL,,$17.00 
01302,ENEMA SET,,$8.00 
01309,SITZ BATH,,$12.00 
01310,CATH TRAY 16 FR FOLEY,,$16.00 
01311,ACETIC ACID 0.25%,,$20.00 
01312,ACTIVATED CHARCOAL 50GM LIQ,,$60.00 
01313,A&D OINTMENT,,$8.00 
01314,AMOXIL 250 MG SUSPENSION,,$3.00 
01316,LORAZEPAM 2MG/ML INJ(ATIVAN),J2060,$17.00 
01317,AMOXICILLIN/POT CLAV 500MG(AUGMENTIN),,$12.00 
01318,IPRATROPIUM 0.5mg/2.5ml(ATROVENT),,$3.00 
01321,AZACTAM 1GM VIAL(AZTREONAM),,$80.00 
01323,AMOXICILLIN/CLAV 200MG-28.5MG/5ML,,$30.00 
01325,MERREM 500MG INJ (MEROPENEM),J2185,$25.00 
01326,MUPIROCIN 2% OINT(BACTROBAN),,$40.00 
01330,DICLOFENAC SOD EC 50MG TAB(VOLTAREN),,$5.00 
01331,LISINOPRIL 10MG (ZESTRIL),,$6.00 
01332,LISINOPRIL 2.5MG(ZISTRIL),,$4.00 
01333,LISINOPRIL 5MG (ZESTRIL),,$5.00 
01335,AMPICILLIN-SULBACTAM 3GM(UNASYN),,$30.00 
01336,AMPICILLIN-SULBACTAM 1.5GM(UNASYN),,$20.00 
01337,MIDAZOLAM HCL 1MG/ML(VERSED)(per ml),J2250,$3.00 
01338,KETOROLAC 30MG/ML(TORADOL),J1885,$16.00 
01339,KETOROLAC 60MG/2ML(TORADOL),J1885,$32.00 
01340,LISINOPRIL 20MG (ZESTRIL),,$7.00 
01345,ACEBUTOLOL 200MG CAP(SECTRAL),,$4.00 
01346,PRIMAXIN (IMIPENEM)500MG DOSE,J0743,$150.00 
01348,NIFEDIPINE XL 30MG TAB(PROCARDIA),,$5.00 
01349,NIFEDIPINE 10MG CAP(PROCARDIA),,$3.00 
01350,PROLIXIN,,$38.00 
01352,PROVENTIL SYRUP 5ML,,$3.00 
01353,FLUOXETINE 10MG CAP(PROZAC),,$5.00 
01354,FLUOXETINE 20MG CAP(PROZAC),,$5.00 
01356,CHOLESTYRAMINE 4GM POWDER(QUESTRAN),,$5.00 
01357,FLUOXETINE 40MG CAP(PROZAC),,$6.00 
01363,FAMOTIDINE 20MG TAB(PEPCID),,$4.00 
01364,FAMOTIDINE 20MG/2ML(PEPCID),,$8.00 
01366,NILSTAT ORAL SUSP 60CC,,$19.00 
01367,KETOCONAZOLE 200MG(NIZORAL),,$12.00 
01368,TAMOXIFEN 20MG TAB(NOLVADEX),,$7.00 
01371,"NYSTATIN 100,000 UNIT/GM POWDER",,$49.00 
01372,MYOCHRYSINE INJECTION,,$28.00 
01373,NAFCILLIN 1GM,,$30.00 
01374,NAFCILLIN 2 GM VIAL,,$20.00 
01375,NAPROXEN 500MG TAB(NAPROSYN),,$5.00 
01376,NAPROXEN 220MG TAB(ALEVE),,$3.00 
01380,MEXILETINE 150MG CAP(MEXITIL),,$4.00 
01381,LOVASTATIN 20MG(MEVACOR),,$3.00 
01382,MOTOFEN,,$4.00 
01383,ETODOLAC 400MG TAB(LODINE),,$5.00 
01384,METOPROLOL TART 5MG/5MLVIAL(LOPRESSOR),,$22.00 
01385,HYDROCODONE/ACETAM 5/325MG(NORCO),,$5.00 
01386,HYDROCODONE/ACETAM 10/325(NORCO),,$5.00 
01387,CLOTRIMAZOLE-BETAMETHASONE CRM 1-0.05%,,$50.00 
01389,HYDROCODONE/ACETAM 7.5/325MG/15ML(NORCO,,$5.00 
01391,CITRATE OF MAGNESIA(CITROMA)296ML,,$5.00 
01393,DOLOPHINE METHODONE TAB,,$4.00 
01395,DUODERM  2 X 2,,$15.00 
01396,DUODERM 4 X 4,,$15.00 
01397,"BICILLIN L-A 1,200,000 UNITS",J0561,$350.00 
01405,SPIRONOLACTONE 50MG TAB(ALDACTONE),,$4.00 
01407,ACTONEL TAB 150 MG,,$332.00 
01410,ACCOLATE 20MG TAB(ZAFIRLUKAST),,$6.00 
01411,STERILE TOWELS/4 PK,,$14.00 
01416,NASAL DECONGESTANT 0.05% SPRAY(AFRIN),,$5.00 
01419,ALDACTAZIDE UNIT-DOSE,,$4.00 
01420,SPIRONOLACTONE 25MG TAB(ALDACTONE),,$4.00 
01428,ALBUTEROL SUL 2.5MG/3ML SOLN,,$3.00 
01435,AMINOPHYLLINE INJ UPTO 250MG,J0280,$14.00 
01441,CEFAZOLIN 1GM VIAL(ANCEF),J0690,$20.00 
01444,DISPOSABLE DERMATOME,,$99.00 
01447,CALCITRIOL 0.5MCG CAP(ROCALTROL),,$3.00 
01449,MECLIZINE 25MG TAB(ANTIVERT),,$4.00 
01452,ANUSOL-HC SUPP(ANUCORT),,$30.00 
01454,HYDRALAZINE 10MG TAB (APRESOLINE),,$3.00 
01457,HYDRALAZINE 20MG/ML VIAL(APRESOLINE),J0360,$10.00 
01458,HYDRALAZINE 25MG TAB(APRESOLINE),,$3.00 
01459,HYDRALAZINE 50MG TAB(APRESOLINE),,$3.00 
01460,VITAMIN K-1 10MG/ML AMPUL,,$125.00 
01465,ARISTOCORT 10MG INJ (TRIAMCINOLONE),J3301,$28.00 
01472,ARAVA 20MG TAB,,$10.00 
01473,TRIHEXYPHENIDYL 2MG TAB(ARTANE),,$3.00 
01480,ASPIRIN EC 325MG TAB,,$3.00 
01482,HYDROXYZINE 10MG TAB(ATARAX),,$3.00 
01484,HYDROXYZINE 25MG TAB(ATARAX),,$3.00 
01486,LORAZEPAM 1MG TAB(ATIVAN),,$3.00 
01487,LORAZEPAM 0.5MG TAB(ATIVAN),,$3.00 
01492,AURALGAN OTIC SOLUTION,,$21.00 
01498,SMZ/TMP DS TAB 800/160MG(BACTRIM DS),,$10.00 
01500,PNEUMOTHORAX TRAY,,$137.00 
01501,B-COMPLEX PLUS-C TAB,,$3.00 
01507,DIPHENHYDRAMINE 50MG/ML INJ(BENADRYL),J1200,$5.00 
01508,DIPHENHYDRAMINE12.5MG/5ML PO(BENADRYL),,$3.00 
01511,DIPHENHYDRAMINE 25MG CAP(BENADRYL),,$4.00 
01517,DICYCLOMINE 10MG CAP(BENTYL),,$3.00 
01518,DICYCLOMINE 20MG TAB(BENTYL),,$3.00 
01520,DEXTROSE 50%-WATER SYRINGE,,$20.00 
01528,REESE'S PINWORM 144MG/ML SUSP,,$22.00 
01530,ACETAMINOPHEN 160MG/5ML(TYLENOL),,$3.00 
01532,BUMETANIDE 1MG TAB(BUMEX),,$4.00 
01536,AMITRIPTYLINE 75MG TAB(ELAVIL),,$4.00 
01537,AMITRIPTYLINE 100MG TAB(ELAVIL),,$4.00 
01538,AMITRIPTYLINE 50MG TAB(ELAVIL),,$3.00 
01549,DOXAZOSIN 2MG TAB(CARDURA),,$4.00 
01554,ENSURE,,$4.00 
01556,AMITRIPTYLINE 150MG TAB(ELAVIL),,$5.00 
01557,CLONAZEPAM 0.5MG TAB(KLONOPIN),,$3.00 
01559,SORE THROAT (CHLORASEPTIC)SPRAY,,$10.00 
01561,ROMAZICON 0.5MG/5ML(FLUMAZENIL),,$25.00 
01562,MORPHINE SULF ER 30MG TAB(MS CONTIN),,$7.00 
01563,MORPHINE SULF ER 15MG TAB(MS CONTIN),,$10.00 
01564,AMLODIPINE 5MG TAB(NORVASC),,$5.00 
01565,PREMARIN 0.625MG TAB,,$10.00 
01566,OMEPRAZOLE 20MG (PRILOSEC),,$5.00 
01567,AMLODIPINE 10MG TAB(NORVASC),,$5.00 
01568,OMEPRAZOLE 40MG (PRILOSEC),,$5.00 
01569,CALAN 5MG/2ML,,$50.00 
01570,CALCIUM CHLORIDE 10% SYRINGE,,$15.00 
01571,CALCIUM GLUCONATE 10% VIAL,J0610,$15.00 
01572,DILTIAZEM 90MG TAB(CARDIZEM),,$5.00 
01573,DILTIAZEM 120MG TAB(CARDIZEM),,$5.00 
01574,CLONIDINE HCL 0.2MG TAB (CATAPRES),,$4.00 
01575,CLONIDINE HCL 0.1MG TAB(CATAPRES),,$4.00 
01577,ZOVIRAX OINT 5MG,,$54.00 
01578,NEEDLE ELECTRODE,,$42.00 
01580,DILTIAZEM 30MG TAB(CARDIZEM),,$3.00 
01582,CLONIDINE 0.1MG/WK TD (CATAPRES),,$60.00 
01596,CEFUROXIME AXETIL 250MG TAB(CEFTIN),,$12.00 
01599,CEPACOL THROAT SPRAY,,$5.00 
01600,LOZENGES,,$3.00 
