SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,BCBSAL TOTAL (IP & OP),BCBSAL - CHS EEs,UHC,AETNA,CIGNA,VIVA HEALTH,HUMANA,HUMANA MCR,BCBSAL MCR,UHC MCR,CIGNA HEALTHSPRING MCR,AETNA/COVENTRY MCR,MULTIPLAN
1218276,SILV SULF 1%CRM 20GM,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
1210377,DICLOFEN .1%OS 5ML,,256.05,2/6/2022,53.7705,89.6175,16.64325,40.19985,21.76425,18.17955,26.37315,34.56675,26.1171,40.19985,36.3591,16.8993,17.4114,16.8993,16.64325,17.4114,16.64325
1417125,LEAD NEUROSTIMULAT 1,C1778,20830.24,2/6/2022,4374.3504,7290.584,1353.9656,3270.34768,1770.5704,1478.94704,2145.51472,2812.0824,2124.68448,3270.34768,2957.89408,1374.79584,1416.45632,1374.79584,1353.9656,1416.45632,1353.9656
1212667,MEPIVACAINE 10ML INJ,J0670,151.02,2/6/2022,31.7142,52.857,9.8163,23.71014,12.8367,10.72242,15.55506,20.3877,15.40404,23.71014,21.44484,9.96732,10.26936,9.96732,9.8163,10.26936,9.8163
1217721,MEPERIDINE 50MG/5ML,,45.2,2/6/2022,9.492,15.82,2.938,7.0964,3.842,3.2092,4.6556,6.102,4.6104,7.0964,6.4184,2.9832,3.0736,2.9832,2.938,3.0736,2.938
1214159,SACUT49-VALSA51MG TB,,26.97,2/6/2022,5.6637,9.4395,1.75305,4.23429,2.29245,1.91487,2.77791,3.64095,2.75094,4.23429,3.82974,1.78002,1.83396,1.78002,1.75305,1.83396,1.75305
1217963,MERCAPTOPUR 50MG TB,,10.95,2/6/2022,2.2995,3.8325,0.71175,1.71915,0.93075,0.77745,1.12785,1.47825,1.1169,1.71915,1.5549,0.7227,0.7446,0.7227,0.71175,0.7446,0.71175
1612172,UE-FOREARM 2V CR,73090,1168.32,2/6/2022,245.3472,408.912,75.9408,183.42624,99.3072,82.95072,120.33696,157.7232,119.16864,183.42624,165.90144,77.10912,79.44576,77.10912,75.9408,79.44576,75.9408
282801,LABOR LEVEL 1 PER HR,,528.03,2/6/2022,110.8863,184.8105,34.32195,82.90071,44.88255,37.49013,54.38709,71.28405,53.85906,82.90071,74.98026,34.84998,35.90604,34.84998,34.32195,35.90604,34.32195
1217361,PROMET6.25-COD10/5ML,,45.2,2/6/2022,9.492,15.82,2.938,7.0964,3.842,3.2092,4.6556,6.102,4.6104,7.0964,6.4184,2.9832,3.0736,2.9832,2.938,3.0736,2.938
